en,fr,it,de,es,ko,kana,jp
—,Mocheté Incarné,-,-,—,-,―,Mocheté Incarné
Stench,Puanteur,Tanfo,Duftnote,Hedor,악취,あくしゅう,Puanteur
Drizzle,Crachin,Piovischio,Niesel,Llovizna,잔비,あめふらし,Crachin
Speed Boost,Turbo,Acceleratore,Temposchub,Impulso,가속,かそく,Turbo
Battle Armor,Armurbaston,Lottascudo,Kampfpanzer,Armadura Batalla,전투무장,カブトアーマー,Armurbaston
Sturdy,Fermeté,Vigore,Robustheit,Robustez,옹골참,がんじょう,Fermeté
Damp,Moiteur,Umidità,Feuchtigkeit,Humedad,습기,しめりけ,Moiteur
Limber,Échauffement,Scioltezza,Flexibilität,Flexibilidad,유연,じゅうなん,Échauffement
Sand Veil,Voile Sable,Sabbiavelo,Sandschleier,Velo Arena,모래숨기,すながくれ,Voile Sable
Static,Statik,Statico,Statik,Elec. Estática,정전기,せいでんき,Statik
Volt Absorb,Absorbe-Volt,Assorbivolt,Voltabsorber,Absorbe Elec,축전,ちくでん,Absorbe-Volt
Water Absorb,Absorbe-Eau,Assorbacqua,H2O-Absorber,Absorbe Agua,저수,ちょすい,Absorbe-Eau
Oblivious,Benêt,Indifferenza,Dösigkeit,Despiste,둔감,どんかん,Benêt
Cloud Nine,Ciel Gris,Antimeteo,Wolke Sieben,Aclimatación,날씨부정,ノーてんき,Ciel Gris
Compound Eyes,Œil Composé,Insettocchi,Facettenauge,Ojo Compuesto,복안,ふくがん,Œil Composé
Insomnia,Insomnia,Insonnia,Insomnia,Insomnio,불면,ふみん,Insomnia
Color Change,Homochromie,Cambiacolore,Farbwechsel,Cambio Color,변색,へんしょく,Homochromie
Immunity,Vaccin,Immunità,Immunität,Inmunidad,면역,めんえき,Vaccin
Flash Fire,Torche,Fuocardore,Feuerfänger,Absorbe Fuego,타오르는불꽃,もらいび,Torche
Shield Dust,Écran Poudre,Polvoscudo,Puderabwehr,Polvo Escudo,인분,りんぷん,Écran Poudre
Own Tempo,Tempo Perso,Mente Locale,Tempomacher,Ritmo Propio,마이페이스,マイペース,Tempo Perso
Suction Cups,Ventouse,Ventose,Saugnapf,Ventosas,흡반,きゅうばん,Ventouse
Intimidate,Intimidation,Prepotenza,Bedroher,Intimidación,위협,いかく,Intimidation
Shadow Tag,Marque Ombre,Pedinombra,Wegsperre,Sombra Trampa,그림자밟기,かげふみ,Marque Ombre
Rough Skin,Peau Dure,Cartavetro,Rauhaut,Piel Tosca,까칠한피부,さめはだ,Peau Dure
Wonder Guard,Esquive,Magidifesa,Wunderwache,Superguarda,불가사의부적,ふしぎなまもり,Esquive
Levitate,Lévitation,Levitazione,Schwebe,Levitación,부유,ふゆう,Lévitation
Effect Spore,Pose Spore,Spargispora,Sporenwirt,Efecto Espora,포자,ほうし,Pose Spore
Synchronize,Synchro,Sincronismo,Synchro,Sincronía,싱크로,シンクロ,Synchro
Clear Body,Corps Sain,Corpochiaro,Neutraltorso,Cuerpo Puro,클리어바디,クリアボディ,Corps Sain
Natural Cure,Médic Nature,Alternacura,Innere Kraft,Cura Natural,자연회복,しぜんかいふく,Médic Nature
Lightning Rod,Paratonnerre,Parafulmine,Blitzfänger,Pararrayos,피뢰침,ひらいしん,Paratonnerre
Serene Grace,Sérénité,Leggiadro,Edelmut,Dicha,하늘의은총,てんのめぐみ,Sérénité
Swift Swim,Glissade,Nuotovelox,Wassertempo,Nado Rápido,쓱쓱,すいすい,Glissade
Chlorophyll,Chlorophylle,Clorofilla,Chlorophyll,Clorofila,엽록소,ようりょくそ,Chlorophylle
Illuminate,Lumiattirance,Risplendi,Erleuchtung,Iluminación,발광,はっこう,Lumiattirance
Trace,Calque,Traccia,Erfassen,Rastro,트레이스,トレース,Calque
Huge Power,Coloforce,Macroforza,Kraftkoloss,Potencia,천하장사,ちからもち,Coloforce
Poison Point,Point Poison,Velenopunto,Giftdorn,Punto Tóxico,독가시,どくのトゲ,Point Poison
Inner Focus,Attention,Forza Interiore,Konzentrator,Foco Interno,정신력,せいしんりょく,Attention
Magma Armor,Armumagma,Magmascudo,Magmapanzer,Escudo Magma,마그마의무장,マグマのよろい,Armumagma
Water Veil,Ignifu-Voile,Idrovelo,Aquahülle,Velo Agua,수의베일,みずのベール,Ignifu-Voile
Magnet Pull,Magnépiège,Magnetismo,Magnetfalle,Imán,자력,じりょく,Magnépiège
Soundproof,Anti-Bruit,Antisuono,Lärmschutz,Insonorizar,방음,ぼうおん,Anti-Bruit
Rain Dish,Cuvette,Copripioggia,Regengenuss,Cura Lluvia,젖은접시,あめうけざら,Cuvette
Sand Stream,Sable Volant,Sabbiafiume,Sandsturm,Chorro Arena,모래날림,すなおこし,Sable Volant
Pressure,Pression,Pressione,Erzwinger,Presión,프레셔,プレッシャー,Pression
Thick Fat,Isograisse,Grassospesso,Speckschicht,Sebo,두꺼운지방,あついしぼう,Isograisse
Early Bird,Matinal,Sveglialampo,Frühwecker,Madrugar,일찍기상,はやおき,Matinal
Flame Body,Corps Ardent,Corpodifuoco,Flammkörper,Cuerpo Llama,불꽃몸,ほのおのからだ,Corps Ardent
